imdbID,CurrencyBudget,CurrencyGross,Language
tt12718300,USD,USD,English
tt11818818,,USD,English
tt8110900,,USD,English
tt10731256,USD,USD,English
tt11727866,,,English
tt5315210,,USD,English
tt9783730,,USD,English
tt14307536,,,English
tt15474916,USD,USD,English
tt9731598,USD,USD,English
tt11909878,,,English
tt10268488,USD,,English
tt3104956,,USD,English
tt4595186,,,English
tt10375396,,USD,English
tt14895206,,USD,English
tt7830806,,,English
tt12908110,,,English
tt10403420,USD,USD,English
tt14668630,USD,USD,English
tt10304142,USD,USD,English
tt14444726,USD,USD,English
tt21837726,,,English
tt10665342,USD,USD,English
tt4960748,USD,USD,English
tt1777606,,,English
tt1016150,,,German
tt10354106,,USD,English
tt2935622,,,English
tt4273800,,USD,English
tt21651560,,,English
tt6443346,USD,USD,English
tt14109724,USD,USD,English
tt5181830,,,English
tt11813216,,USD,English
tt13139228,,,English
tt19770238,,USD,English
tt21435436,,USD,English
tt17640752,,USD,English
tt10343028,USD,USD,English
tt7461272,,USD,English
tt10192406,,,English
tt9271672,,USD,English
tt8656686,USD,,English
tt9288822,,,English
tt14641788,,,English
tt9288748,,,English
tt17076046,USD,,English
tt16302202,,USD,English
tt11833408,,,English
tt14824590,,USD,English
tt1657865,,,English
tt14895716,,USD,English
tt14179942,,USD,English
tt1488589,USD,USD,English
tt14715170,,,English
tt9114286,USD,USD,English
