Title,Type,Release,Runtime,Genre,Nominations,Metascore,imdbRating,imdbVotes,imdbID,Budget,Gross,Platform,CurrencyBudget,CurrencyGross,Language
My Hero Academia: Two Heroes,Movie,2018-09-25,5760.0,Animation,,,7.3,11366,tt7745068,,21022724.0,others,,USD,Japanese
Smallfoot,Movie,2018-09-28,5760.0,Animation,,60.0,6.6,41041,tt6182908,80000000.0,214115531.0,others,USD,USD,English
Night School,Movie,2018-09-28,6660.0,Comedy,,43.0,5.6,42122,tt6781982,29000000.0,103105878.0,others,USD,USD,English
Power of the Air,Movie,2018-10-02,5400.0,Drama,,,6.9,99,tt3554938,,,others,,,English
Venom,Movie,2018-10-05,6720.0,Action,,35.0,6.6,500462,tt1270797,100000000.0,856085151.0,others,USD,USD,English
A Star Is Born,Movie,2018-10-05,8160.0,Drama,7.0,88.0,7.6,395248,tt1517451,36000000.0,436233122.0,others,USD,USD,English
The Happy Prince,Movie,2018-10-10,6300.0,Biography,,64.0,6.2,5522,tt2404639,,2621992.0,others,,USD,Latin
First Man,Movie,2018-10-12,8460.0,Biography,3.0,84.0,7.3,192956,tt1213641,59000000.0,105713218.0,others,USD,USD,English
Bad Times at the El Royale,Movie,2018-10-12,8460.0,Crime,,60.0,7.1,155150,tt6628394,32000000.0,31882724.0,others,USD,USD,English
Beautiful Boy,Movie,2018-10-25,7200.0,Biography,1.0,62.0,7.3,84837,tt1226837,25000000.0,31711319.0,others,USD,USD,English
The Oath,Movie,2018-10-19,5580.0,Comedy,,58.0,5.6,4838,tt7461200,,403852.0,others,,USD,English
Gosnell: The Trial of America's Biggest Serial Killer,Movie,2018-10-12,5580.0,Crime,,,6.5,4650,tt3722234,,3679893.0,others,,USD,English
After Everything,Movie,2018-10-12,5700.0,Comedy,,67.0,6.4,1808,tt6688022,,2222.0,others,,USD,English
The Hate U Give,Movie,2018-10-19,7980.0,Crime,,81.0,7.5,37820,tt5580266,23000000.0,34934009.0,others,USD,USD,English
Can You Ever Forgive Me?,Movie,2018-11-02,6360.0,Biography,3.0,87.0,7.1,53888,tt4595882,10000000.0,12442161.0,others,USD,USD,English
Wildlife,Movie,2019-01-01,6300.0,Drama,,80.0,6.8,29930,tt5929754,,3321367.0,others,,USD,English
What They Had,Movie,2018-11-29,6060.0,Drama,,69.0,6.7,4489,tt6662736,,533579.0,others,,USD,English
Hunter Killer,Movie,2018-10-26,7260.0,Action,,43.0,6.6,66474,tt1846589,40000000.0,31676128.0,others,USD,USD,English
Bullitt County,Movie,2018-10-26,5880.0,Action,,50.0,4.7,562,tt6140148,,11257.0,others,,USD,English
Bohemian Rhapsody,Movie,2018-11-02,8040.0,Biography,1.0,49.0,7.9,552213,tt1727824,52000000.0,910809311.0,others,USD,USD,English
The Nutcracker and the Four Realms,Movie,2018-11-02,5940.0,Adventure,,39.0,5.6,35241,tt5523010,120000000.0,173961069.0,others,USD,USD,English
Boy Erased,Movie,2018-11-08,6900.0,Biography,,69.0,6.9,40108,tt7008872,11000000.0,11853081.0,others,USD,USD,English
A Private War,Movie,2018-11-16,6600.0,Biography,,75.0,6.7,20072,tt2368254,18800000.0,3915207.0,others,USD,USD,English
Bodied,Movie,2018-11-02,7200.0,Comedy,,75.0,7.1,5834,tt5883570,,113956.0,others,,USD,English
The Front Runner,Movie,2018-11-21,6780.0,Biography,,61.0,6.1,13679,tt7074886,,3242235.0,others,,USD,English
The Girl in the Spider's Web,Movie,2018-11-09,6900.0,Action,,43.0,6.1,49252,tt5177088,43000000.0,35164920.0,others,USD,USD,English
Overlord,Movie,2018-11-09,6600.0,Action,,60.0,6.6,102079,tt4530422,38000000.0,41657844.0,others,USD,USD,English
